ids,entitynum,region,site,londd,latdd,altitude,samplenum,agebp,minD,DJFPdelta,JJAPdelta,JJATdelta,DJFTdelta,Alnus,Apiaceae,Artemisia,Asteroideae,Betula,Buxus,Caryophyllaceae,Castanea,Chenopodiaceae,Cichorioideae,Corylus,Cyperaceae,Dipsacaceae,Ephedra,Ericales,Fagus,Hippophae,Ilex,Juglans,Juniperus,Lamiaceae,Pinus,Plantago,Plumbaginaceae,Poaceae,Quercus..deciduous.,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Salix,Thalictrum,Tilia,Ulmus,Urtica
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,63,14704.88,22.49187654,51.2,25.975,-6.8875,-2.4125,0,0,27.85,2.35,0,0,0,0,5.37,0.67,0,0,0,0.67,0,0,0,0,0,0.67,0,29.19,2.68,0,23.15,0,0,1.35,2.68,2.68,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,64,15110.44,21.73975165,54.5375,10.425,-3.775,5.8125,0,0,24.27,2.27,0,0,1.29,0,3.24,0,0,0.65,0,0,0,0,0,0,0,0,0,32.36,1.29,0,32.04,0,0,0,0,0.97,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,65,15516,23.07009856,66.0875,16.475,-3.6375,7.725,0,0,24.27,0.88,0,0,0.58,0,4.09,0,0,2.05,0,1.17,0.58,0,0.58,0,0,0,0,35.38,2.34,0,26.32,0,0,0,0,1.17,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,66,15921.56,22.86983794,69.0375,16.1375,-3.9875,7.3125,0,0,29.67,0.73,0,0,0,0,6.96,0.73,0,1.47,0,2.2,0,0,0,0,0,0,0,26.74,2.2,0,21.61,0,0,0.73,2.56,1.47,0,0.73,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,67,16124.34,17.87515917,56.5375,20.0125,-5.8875,0.6375,0,0,28.28,0.67,0,0,1.01,0,5.39,0,0,0,0,1.68,0,0,0,0,0,0.67,0,31.65,1.68,0,25.25,0,0,0,1.01,1.01,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,68,16529.9,18.93389309,71.0375,20.2625,-5.65,2.1,0,0,28.21,0.73,0.73,0,0,0,9.52,0.73,0,0,0,0.73,0,0,0,0,0,0.73,0,25.64,2.56,0,24.54,0,0,0,1.47,2.2,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,69,17178.79,16.46999669,76.65,-12.625,-3.5875,3.4875,0,0,7.95,0.99,13.58,0,0,0,1.32,0.66,1.99,0.99,0,0,0.99,0,0,0,0,1.32,0,32.12,3.31,0,20.53,9.93,0,0,0,0.99,0,0,0,1.66,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,70,17949.36,27.22340971,80.8,21.85,-3.35,9.575,0,0,17.73,1.36,0,0,1.36,0,7.27,0,0,0.91,0,1.82,0,0,0,0,0,0,0,26.36,0,0,36.36,0,2.73,0,0,1.82,0,0,0,0,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,71,18557.7,30.71258467,47.45,-10.9125,-1.1125,4.0125,0,0,12.27,3.07,1.84,0,0,0,8.59,0,0.61,0,0,0.61,0,0,0,0,0,0,0,26.38,1.84,1.23,38.65,0.61,2.45,0.61,0.61,0,0,0,0,0.61,0
Entity_33_Region_Europe,33,Europe,Lago de Ajo,-6.15,43.05,1570,72,19166.03,14.53146691,58.9125,29.5125,-6.65,-0.5625,0,0,36.06,1.44,0,0,0,0,6.73,0.96,0,0,0,0.96,0,0,0,0,0,0,0,21.63,1.92,0,28.85,0,0,0,0,0,0,0,0,0,0
